GeographyCode,KS101EW0008,KS101EW0001,KS102EW0036,KS102EW0037,KS102EW0038,KS201EW0020,KS201EW0021,KS201EW0022,KS201EW0023,KS201EW0024,KS201EW0025,KS201EW0026,KS201EW0027,KS201EW0028,KS201EW0029,KS201EW0030,KS201EW0031,KS201EW0032,KS201EW0033,KS201EW0034,KS201EW0035,KS201EW0036,KS201EW0037,KS401EW0020,KS401EW0021,KS401EW0022,KS401EW0023,KS401EW0024,KS401EW0025,KS401EW0026,KS402EW0010,KS402EW0011,KS402EW0012,KS402EW0013,KS402EW0014,KS402EW0015,KS402EW0016,KS402EW0017,KS501EW0014,KS501EW0015,KS501EW0016,KS501EW0017,KS501EW0018,KS501EW0019,KS501EW0020,KS608EW0011,KS608EW0012,KS608EW0013,KS608EW0014,KS608EW0015,KS608EW0016,KS608EW0017,KS608EW0018,KS608EW0019
E01000907,133.4,1430,20.62937063,67.97202797,11.3986014,54.82517483,5.594405594,0,13.07692308,2.657342657,1.398601399,1.888111888,1.328671329,0.909090909,0.20979021,3.776223776,1.118881119,2.517482517,3.426573427,3.286713287,1.188811189,0.629370629,2.167832168,2.222222222,4.126984127,15.3968254,61.42857143,16.82539683,0,0,12.59968102,18.02232855,0.637958533,50.07974482,4.306220096,13.39712919,0.318979266,0.637958533,20,9.162995595,9.074889868,0.969162996,9.074889868,44.22907489,7.488986784,9.076682316,32.70735524,18.77934272,10.17214397,5.79029734,7.668231612,5.007824726,2.816901408,7.981220657
E01000908,90.3,1581,18.46932321,68.18469323,13.34598356,54.1429475,4.743833017,0.063251107,13.47248577,2.403542062,0.695762176,3.542061986,2.024035421,0.569259962,0.126502214,1.644528779,0.632511069,3.225806452,4.111321948,2.277039848,1.644528779,0.253004428,4.427577483,1.726121979,9.436133487,3.797468354,73.18757192,11.27733026,0.575373993,0,14.02660218,17.6541717,0.241837969,51.02781137,1.571946796,11.36638452,2.660217654,1.451027811,14.97284717,7.680372382,10.08533747,0.77579519,8.766485648,50.42668735,7.292474787,10.29023747,30.60686016,23.35092348,9.63060686,4.749340369,6.464379947,6.068601583,2.242744063,6.596306069
E01000909,70.6,1614,15.11771995,66.97645601,17.90582404,63.07311029,3.283767038,0.061957869,17.65799257,1.548946716,0.433705081,1.920693928,1.610904585,1.115241636,0.061957869,1.425030979,0.743494424,1.301115242,1.796778191,0.433705081,0.619578686,0.309789343,2.602230483,11.66912851,21.1225997,9.453471196,35.3028065,21.1225997,1.329394387,0,38.27534039,21.18003026,1.059001513,13.9183056,4.689863843,16.64145234,2.118003026,2.118003026,9.635036496,5.109489051,8.321167883,0.729927007,9.562043796,61.89781022,4.744525547,15.31100478,36.00478469,23.5645933,7.535885167,3.110047847,5.980861244,3.468899522,1.674641148,3.349282297
E01000912,17.7,1589,16.36249213,69.41472624,14.22278162,58.14977974,3.713027061,0.125865324,15.35556954,1.887979862,0.755191945,1.447451227,1.510383889,0.881057269,0,2.831969792,0.566393958,0.818124607,6.230333543,2.013845186,0.943989931,1.447451227,1.321585903,0.985915493,1.830985915,10,75.35211268,10.70422535,1.126760563,0,15.28571429,14.57142857,2,40,11.28571429,13.85714286,1.142857143,1.857142857,17.9834462,9.330323552,9.405568096,1.128668172,8.728367193,47.17832957,6.245297216,8.850726552,30.64729194,22.72126816,10.03963012,5.416116248,6.869220608,5.548216645,2.774108322,7.1334214
E01000913,10.6,1710,17.07602339,63.4502924,19.47368421,69.12280702,2.923976608,0.175438596,15.96491228,0.643274854,0.233918129,2.923976608,1.286549708,1.286549708,0.058479532,0.058479532,1.637426901,1.695906433,0.643274854,0.175438596,0.467836257,0.116959064,0.584795322,27.08074534,12.29813665,15.27950311,23.97515528,17.26708075,4.099378882,0,47.09141274,27.56232687,0.27700831,1.385041551,0.55401662,17.86703601,1.523545706,3.739612188,4.936530324,4.936530324,9.590973202,0.423131171,9.379407616,65.23272214,5.500705219,23.98720682,35.82089552,22.60127932,6.609808102,2.23880597,3.837953092,1.918976546,0.639658849,2.345415778
E01000893,29.7,1566,16.92209451,67.752235,15.3256705,60.47254151,2.107279693,0.127713921,25.41507024,0.446998723,0.702426564,1.851851852,1.53256705,1.851851852,0.383141762,0.06385696,1.149425287,1.340996169,0.766283525,0.127713921,0.127713921,0.893997446,0.638569604,1.162790698,14.47028424,6.976744186,14.5994832,62.66149871,0.129198966,0,39.02097902,20.55944056,0.699300699,2.657342657,1.818181818,32.58741259,1.538461538,1.118881119,3.689469639,2.382782475,7.148347425,0.691775557,7.455803228,72.55956956,6.072252114,15.55555556,41.22222222,26.66666667,5.888888889,2.333333333,4.111111111,2,0.777777778,1.444444444
E01000894,62.7,1389,18.64650828,65.29877609,16.05471562,56.44348452,1.51187905,0.07199424,26.20590353,0.287976962,0,2.159827214,1.007919366,1.799856012,0.07199424,0.359971202,3.09575234,3.023758099,0.863930886,0.503959683,0.143988481,0.503959683,1.943844492,4.197901049,12.44377811,28.63568216,19.49025487,31.48425787,3.5982009,0.149925037,39.74151858,18.73990307,0,3.392568659,0.807754443,33.44103393,2.100161551,1.777059774,3.008849558,3.716814159,6.460176991,0.17699115,7.522123894,71.32743363,7.787610619,22.42503259,37.67926988,25.8148631,4.43285528,1.173402868,3.389830508,2.477183833,0.651890482,1.955671447
E01000895,166.2,1630,15.39877301,66.74846626,17.85276074,51.90184049,2.883435583,0,25.03067485,1.165644172,0.306748466,3.496932515,2.024539877,2.45398773,0.306748466,0.306748466,1.288343558,3.619631902,2.147239264,0.920245399,0,0.490797546,1.656441718,1.339285714,5.022321429,17.29910714,54.24107143,13.83928571,8.258928571,0,23.18668252,12.48513674,0.356718193,20.57074911,3.567181926,34.60166468,2.378121284,2.853745541,9.499637418,4.641044235,6.018854242,1.015228426,8.411892676,62.14648296,8.266860044,17.91713326,35.9462486,23.5162374,6.494960806,3.247480403,4.479283315,3.695408735,1.56774916,3.13549832
E01000896,112,1692,17.78959811,64.53900709,17.6713948,58.92434988,1.595744681,0.059101655,24.23167849,0.236406619,0.354609929,2.600472813,1.418439716,1.713947991,0.413711584,0.354609929,1.477541371,2.718676123,0.886524823,0.650118203,0.709219858,0.236406619,1.418439716,4.987531172,12.34413965,18.0798005,13.21695761,48.50374065,2.867830424,0,39.94708995,19.44444444,0,2.116402116,1.984126984,33.99470899,1.058201058,1.455026455,4.672897196,3.522645579,6.613946801,0.431344357,5.391804457,73.61610352,5.751258088,20.87912088,40.21978022,25.6043956,6.263736264,1.208791209,2.637362637,1.758241758,0.32967033,1.098901099
E01000899,15.4,1667,19.61607679,62.80743851,17.5764847,61.90761848,2.039592082,0.179964007,22.97540492,0.179964007,0.179964007,2.039592082,1.49970006,2.399520096,0.359928014,0,0.839832034,2.339532094,0.659868026,0.359928014,0.359928014,0.23995201,1.439712058,8.541392904,18.00262812,21.55059133,26.28120894,23.521682,1.445466491,0.657030223,46.56160458,22.20630372,0,1.289398281,0.429799427,23.49570201,1.00286533,5.014326648,6.194029851,5.074626866,8.656716418,0.447761194,8.358208955,62.6119403,8.656716418,29.29782082,33.77723971,23.48668281,4.600484262,1.331719128,4.963680387,1.210653753,0.242130751,1.089588378
