start_point,end_point,length
8,2608422,16
9,8,150
10,816,74
10,186,52
15,88,16
15,90,15
23,24,95
24,75,13
25,957,96
35,2607976,74
38,2608199,8
39,1467,142
39,2607368,43
42,2608429,28
45,42,14
46,47,39
47,2608431,50
57,2607481,74
58,2608344,36
65,180,46
65,2678,276
66,912,122
67,121,12
75,1155,104
75,485,119
82,2608438,44
83,2607907,72
84,204,11
88,89,4
89,163,9
90,88,10
92,129,4
93,92,24
103,2608446,66
104,321,36
105,545,33
110,2608449,11
112,776,82
112,482,60
117,2608064,47
118,2608064,10
119,2608451,87
121,351,37
121,314,46
125,2608452,28
129,264,12
130,129,18
131,509,39
134,2608455,117
139,327,19
139,2608458,22
9,673,49
144,242,10
146,2608460,291
146,385,25
147,535,36
147,2606491,251
148,147,81
149,905,77
152,2608462,10
153,152,10
157,82,29
158,2608309,38
159,2608309,13
163,255,9
157,197,3
165,2607167,131
167,110,12
169,90,3
174,93,7
180,299,68
105,544,45
181,182,104
182,429,252
186,186,27
58,2608470,42
58,413,110
189,2606192,190
190,2606192,82
191,2608361,58
192,2608471,62
193,2608471,102
197,2608473,84
197,1198,96
199,938,74
200,275,9
158,1304,125
201,2608152,62
202,2608152,82
203,519,57
204,779,60
169,309,13
208,169,11
210,130,26
130,264,17
213,118,51
118,117,10
214,891,63
220,354,18
221,220,306
222,2607368,124
57,242,81
242,2608481,16
246,174,15
174,641,42
247,1026,77
247,46,46
251,2608354,20
254,2608484,37
255,208,12
255,818,151
264,246,9
265,191,25
125,2608489,21
275,2608493,9
277,2607833,155
265,2607833,103
278,898,66
285,125,85
296,2608501,144
299,251,98
301,302,41
302,302,125
148,557,38
308,148,66
309,208,12
313,2613,299
313,2483,249
314,210,50
210,620,34
117,518,28
246,642,31
254,193,112
321,1378,125
321,674,48
327,1731,382
327,2608458,22
328,329,48
329,556,22
332,898,162
337,2608509,139
338,337,95
351,314,48
309,504,19
301,2608458,28
354,616,36
354,2608514,9
359,360,33
360,891,191
369,2608519,68
370,201,46
371,1352,97
371,2608520,174
372,296,134
383,2608525,26
385,999,111
385,1543,116
202,2608192,88
402,1568,249
411,844,51
412,213,283
413,213,69
414,414,76
415,414,37
428,639,44
428,1444,123
429,1083,159
436,1518,80
46,2608538,133
444,1741,136
413,1832,181
449,2608193,133
451,2608543,90
456,415,104
457,1038,136
458,457,268
460,2608547,36
466,467,274
467,509,65
470,526,9
473,506,26
251,505,64
251,470,61
479,480,23
480,479,21
481,480,18
482,732,33
482,1465,216
485,903,39
495,134,81
496,134,212
504,923,48
504,1220,107
190,165,5
505,470,8
506,638,30
507,383,66
383,901,102
508,351,53
509,1408,91
518,919,121
519,2608558,59
526,678,47
526,505,10
528,265,30
534,436,44
534,877,83
535,2608561,34
535,559,2
539,2606491,377
540,2608564,46
541,2608565,271
541,946,90
481,479,15
479,563,50
544,545,25
545,914,33
546,679,10
549,2608569,43
550,190,182
556,876,52
556,1890,159
557,559,61
559,975,53
563,982,41
563,673,137
584,2608579,95
585,301,121
592,507,60
544,606,4
606,914,39
606,611,3
611,1118,54
505,678,53
615,473,17
616,549,41
617,616,49
620,2608583,31
328,768,23
328,876,22
638,976,60
639,956,73
640,639,322
641,642,11
642,933,28
495,254,159
650,2608592,47
651,2608593,53
652,2608252,170
285,2608252,179
653,995,9
658,2608594,54
659,481,137
662,57,102
557,975,40
557,2608595,49
669,670,38
670,669,56
671,466,234
672,466,22
673,672,83
674,1341,149
620,1003,33
678,742,39
679,1049,81
679,2608598,12
681,1010,34
685,2608602,33
688,508,192
508,2608603,106
689,528,58
693,762,6
693,2608605,52
703,1400,95
703,704,97
704,703,14
713,749,59
713,35,73
718,359,39
719,359,193
721,641,79
641,933,23
722,1467,121
722,752,88
723,519,43
729,704,116
732,2608610,19
742,855,71
743,742,100
745,747,226
747,3160,406
748,747,102
749,689,92
750,540,56
751,540,347
752,753,196
753,752,269
685,2608026,52
759,192,78
192,1137,57
761,473,82
762,1337,74
763,2608227,401
764,2608227,111
768,1582,210
768,964,22
689,1243,61
776,369,20
776,934,41
777,1862,118
777,460,116
779,1108,36
308,1044,38
792,308,130
795,2608625,39
803,2608630,92
507,1407,108
814,2608634,30
815,2608635,51
35,1037,119
816,1063,27
817,816,28
818,2608636,89
818,861,32
732,2608641,13
103,1010,195
832,2608643,68
843,844,61
844,1049,38
853,1291,48
855,1207,306
861,763,23
862,2608192,27
863,370,52
370,1075,210
864,458,90
867,528,19
870,460,44
876,964,23
876,1890,112
877,2608655,48
763,2608658,118
882,83,33
883,83,135
887,2608660,48
891,719,29
549,1084,33
897,1166,29
898,897,40
