LSOA11CD,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10,Component 11,Component 12,Component 13
E01000056,-0.998601779,-0.532657365,-0.101497582,-0.613398362,-0.494773836,-0.488994659,-0.690334667,-0.175740486,-0.669520764,-0.260600567,0.017282359,-0.081378622,-0.372252702
E01000057,-0.998584277,-0.530471506,-0.074165762,-0.715611525,-0.53086768,-0.536495084,-0.611848236,-0.028455462,-0.68405898,-0.306522055,0.018304186,-0.097938428,-0.405003054
E01000054,-0.998346236,-0.629537143,-0.141076776,-0.629857957,-0.46351195,-0.529424998,-0.783123725,-0.338623369,-0.597717062,-0.094087021,-0.023694,0.045291491,-0.409630585
E01000055,-0.998624133,-0.60533857,-0.124462563,-0.636920639,-0.437417975,-0.579539982,-0.718967774,-0.293226682,-0.674915475,-0.120283852,-0.033796318,-0.001116331,-0.362297679
E01000052,-0.999017883,-0.399547036,-0.077638102,-0.57399452,-0.130301235,-0.564548467,-0.709140355,-0.201980296,-0.701306234,0.001899566,-0.109515666,0.014287937,-0.385231794
E01000053,-0.998663618,-0.450641558,-0.082377163,-0.687990566,-0.498721438,-0.527673461,-0.692821353,-0.117615226,-0.67700735,-0.202390641,0.068168902,-0.148997726,-0.431139954
E01000050,-0.998937115,-0.300221538,-0.023404998,-0.543796621,-0.010449563,-0.498326063,-0.683252851,-0.190113196,-0.687567288,-0.037456616,0.008202093,-0.008843812,-0.394482831
E01000051,-0.984936723,-0.148365105,0.226456617,-0.729337291,-0.375620665,-0.212966847,-0.696134422,-0.13161558,-0.716510127,-0.113625409,0.013465489,0.166350105,-0.424515067
E01000058,-0.998652318,-0.418449791,-0.066549993,-0.660862268,-0.465125472,-0.496408119,-0.591221817,0.007941126,-0.675940968,-0.322433293,-0.042036482,-0.083866918,-0.392256205
E01000059,-0.980927692,-0.634597197,-0.170708097,-0.653208954,-0.51907379,-0.543327736,-0.806101352,-0.306574849,-0.696940358,-0.145737257,-0.005661302,-0.022661231,-0.376386986
E01032580,-0.998972214,-0.349998897,-0.049811651,-0.523116241,-0.019602989,-0.701672301,-0.586240447,-0.239427529,-0.679440883,0.022456532,0.058613318,-0.390935192,-0.471459636
E01000036,-0.977395792,-0.559551293,-0.21459672,-0.44506074,-0.412357704,-0.62719699,-0.636903867,-0.311202899,-0.700798534,-0.119853268,-0.092552564,-0.004840575,-0.37003348
E01000037,-0.998626699,-0.73645064,-0.415377867,-0.53256774,-0.549888125,-0.675465915,-0.502668255,-0.361156896,-0.695793023,-0.178588604,-0.220815864,-0.173958186,-0.361715776
E01000034,-0.998060826,-0.694490501,-0.227733311,-0.597186376,-0.561513458,-0.416752237,-0.732987286,-0.308775358,-0.569990268,-0.222086635,-0.005142998,0.029032717,-0.4380881
E01000035,-0.998716228,-0.475699419,-0.233901219,-0.5760999,-0.39592434,-0.58253338,-0.658925313,-0.362505698,-0.685258861,-0.091087532,0.066957126,-0.164195899,-0.443104188
E01000032,-0.998813737,-0.525033553,-0.257036731,-0.520791492,-0.252461729,-0.588342574,-0.615221086,-0.318726418,-0.702338891,-0.068129889,-0.054716801,-0.31212487,-0.493613976
E01000033,-0.978367366,-0.710144339,-0.090259745,-0.739538008,-0.636442205,-0.516006081,-0.6950047,-0.517764299,-0.279519925,-0.083063984,-0.16432944,0.092842285,-0.421334482
E01000030,-0.998656833,-0.492439274,-0.048599612,-0.744302657,-0.528391422,-0.366780833,-0.709099726,-0.28551274,-0.707653248,-0.086413124,-0.065757242,-0.023086446,-0.446381082
